trial_id,tweet,category,model_output,model_confidence
T0047,"""Greetings. You might read the satirical book ""Nappy-Headed Negro Syndrome."" It presents good commentary on this fear, especially white people and their being called ""white."" (It's free, too, by PDF or available on Amazon.)""",,ethnicity,0.9965019
T0048,"""RT @Galepsy: THIS NIGGA TRUMP IS NUN BUT BAD NEWS IMPEACH DIS NIGGA â¼ï¸ https://t.co/5iELBy0pf3""",,ethnicity,0.53082144
T0049,"""@GameboyLover666 like you wanna talk shit? Okay bruh but dont make it fuck with girls I'm talking to you dumb fucking nigger""",,ethnicity,0.99839395
T0050,"""@senpaigaharabot shut the fuck up u dumb nigger""",,ethnicity,0.9984267
T0051,"""So you think it's disgusting how blacks are treated and then you go and call a black man a house nigger... with the er?""",,ethnicity,0.9983783
T0052,"""omg ur making me soft you’re literally one of the first people that started interacting with me and made me feel less lonley on here ily""",,ethnicity,0.997945
T0053,"""@CoreyTurrell well since ""nigger"" is actually an ignorant person, black or white, yes, I'd say I agree that ignorant people are disgusting:P""",,ethnicity,0.9978575
T0054,"""I'm done with this girl she's very naive and dumb as fuck white people wouldn't think twice about calling a nigger either girl""",,ethnicity,0.9983253
T0055,"""@AntiBlackPeople: I'm hungry :-/ one you black slave nigger bitches should make me toast or something!? You're fucking disgusting...""",,ethnicity,0.9981822
T0056,"""Some dumb bitch just walked into the class being a dumb rude bitch. Fuck you stop acting like a nigger.""",,ethnicity,0.99789953
T0057,"""Ughhh he really fuck up tonite dumb azz bitch azz niggers""",,ethnicity,0.9982476
T0058,"""HOLY CRAP BATMAN, THOSE NIGGER WINCHES GOT US LOOKING LIKE COMPLETE IDIOTS IN THE PRESENCE OF MUSLIMS! LET US USE THE DUMB AS FUCK RAP""",,ethnicity,0.9956666
T0059,"""@Bigolbootay you're vile,dirty,disgusting and black, so keep walking nigger and get in the back""",,ethnicity,0.9981939
T0060,"""U dummy I can’t be racist towards my own race, the reason I called you house negro cuz u were defending ur white master and u know very well about the history of USA in Africa so stand with ur people and say no more white oppressors in Africa""",,ethnicity,0.9978148
T0061,"""Its kinda like a nigger yu fuck with jus cos he has money, regardless of how dumb AF he is. https://twitter.com/xsevynsins/status/796154412150321152""",,ethnicity,0.99841416
T0062,"""It really sucks, Those ppl who first follow n thn after getting follow bck.&gt;unfollow. u r no celebrities.ok? I repeat U AR NO CELEBRITIES. P S : Whosoever plays ths game with me.remember, before u refresh to chk ur following figures,ur followers would be lacking one too""",,ethnicity,0.9978963
T0063,"""omg at first i thought u were so intimidating. but i was wrong cause ur nice af. one of my online crushes til i found out ur age""",,ethnicity,0.9972907
T0064,"""Can I ask you something, why is using the word “Negro” a cancelling offense only when it comes out of the mouth of a white person but when black people say it to each other in a so called “endearing” way it’s acceptable? Shouldn’t those words be banned from everyone’s vocabulary?""",,ethnicity,0.99756217
T0065,"""U wnt dem to get stained abi?""@phrankmax: Racism is wen u select ur white clothes to wash first b4 d black nd colored ones:| dnt be a""",,ethnicity,0.9982815
T0066,"""Ass fuck nigga name wayne and ugly ass chris call 411pain fuck j who ever j is fuck j fuck you dumb ugly fuck name wayne stupid nigger""",,ethnicity,0.9982822
T0067,"""Me side-eying film critic twitter who defended that goofy negro who called Blue Ivy ugly and that white woman who blamed us for why Greenbook won an Oscar but NOW want to speak up on why our lives matter. I’m good. We don’t need you.""",,ethnicity,0.9966073
T0068,"""LOL!!>> RT @DAMMIT_WESLEY Move to Canada then, I encourage it. i'll send you money for a ticket @tayyoung_ FUCK OBAMA, dumb ass nigger""",,ethnicity,0.9984231
T0069,"""help go back to ur old old old old layout like the first one sexy""",,ethnicity,0.9974462
T0070,"""Dumb Biology ""@Iam_Tdust: ""@CaptClover_: I'm in Law...what The Fuck Is MR NIGER D"" some nursery Rhyme? Or something 2 do wiv Biology!""""",,ethnicity,0.5550206
T0071,"""#mkr was not a fan of the promo girls, but Kat is worse !""",,gender,0.7163279
T0072,"""The same reason white people can't make jokes about black people.Gay people got killed because of jokes like these. U can exercise your freedom to speech without targeting a group thats trying to fight to exist. Not funny. Might aswel make jokes about rape and say its an opinion""",,gender,0.9955527
T0073,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation even with all those faggot ny fans in the stands""",,other_cyberbullying,0.7840917
T0074,"""Today’s society so sensitive it’s sad they joke about everything but they take out the gay jokes before race, rape, and other “sensitive” jokes""",,gender,0.9960748
T0075,"""Me: Almost lost my military career for being gay, sent to conversion theraphy for being accused of rape &amp; they tried to change me to stiraght, outed by friends for having HIV, religous family still hates me Stiraght man: heterophobia is real cause a random person made a joke""",,gender,0.99373454
T0076,"""I guess it's just me, but seeing incredibly talented actors making rape jokes and dated stereotypical gay jokes just not funny. #vicious""",,gender,0.9957802
T0077,"""hi your prison rape jokes don't hurt harvey weinstein, just gay people, victims of sexual violence, and our collective will to confront the issue of sexual assault in the prison system""",,gender,0.9960861
T0078,"""Omg Crazy Eyes aka Kat is crazy! Karma got her back after she laughed at Annie's dish 😂 #MKR #MKR15 #crazyeyes""",,gender,0.4985354
T0079,"""dont make rape jokes but gay jokes are cool""",,gender,0.99592507
T0080,"""Bitches will call you friendly for talking to a female/ nigga u been knew like huh?""",,gender,0.9944224
T0081,"""ladies and gay bros-use your twitter and facebook ""apps"" to find which dudes making shitty Cosby rape jokes and then NEVER FUCK THOSE GUYS""",,gender,0.9961422
T0082,"""QE-FUCKIN-D @RizwanRock7 Are there any good female comedians?? Or comediennes if you prefer? Can't think of even one! #NotSexist""",,gender,0.9925621
T0083,"""@PositivelyPage We may joke about a lot of stuff... Rape, sex, homophobes, gays, etc. but suicide..... That's a big no. Some RPs, man....""",,gender,0.9951788
T0084,"""This is supposed to be a fucking cooking show not a bunch of faggots walking stupidly down a runway #cringeworthy #mkr""",,not_cyberbullying,0.45449412
T0085,"""The human rights committee is headed by Saudi Arabia. A country that beheads men for being gay and stones rape victims to death. How anyone gives this joke of an organization any rebalance is beyond me""",,gender,0.9955159
T0086,"""OK, so. An Italian magazine is giving out a book of ""gay jokes"". The one on the cover is a *gay rape joke*. http://www.repubblica.it/cronaca/2014/08/17/foto/in_edicola_le_barzellette_sui_gay_su_twitter_esplode_la_polemica-93970022/1/""",,gender,0.99601775
T0087,"""Female is diet bitch for sure, but is not ok to call someone a bitch if they’re acting like a bitch. Is that not acceptable?""",,gender,0.9943558
T0088,"""Dear stupid gay, oh puhlease.. Stop telling a jokes. u bring some africans? I thought u bring the horse to rape u one more time!""",,gender,0.992971
T0089,"""@holliebakerlutz What does that 23% figure represent?  How was it derived?""",,gender,0.41946343
T0090,"""RT @TooBadDJs I'm not sexist at all, but I don't want to watch a ghostbusters film with just women in it #SoSueMe""",,gender,0.99334043
T0091,"""According to the latest pedo-metoo movement, this comedian should get fired then, too: https://www.youtube.com/watch?v=e6g3RmfTD4s Rape jokes, pedo jokes, harassment jokes, gay jokes.... P.S.: Please don't get him fired! One of the few edgy comedians left.""",,gender,0.9959676
T0092,"""Bitch. Is a female dog. A dog is a man best Friend so b greatful when a nigga call u a bitch. Bitch""",,gender,0.992558
T0093,"""so far: rape, bipolar/depression, gay + trans jokes, taking the piss of ppls appearances, making crude comments about things /to me/.....""",,gender,0.9956458
T0094,"""RT @Smocky_plocky: I'm not sexist, but women make the most ignorant presumptions and decisions in relational processes""",,gender,0.98964465
T0095,"""@Coxyrotter just because a man is gay doesn't mean he can put down women and make rape jokes etc""",,gender,0.9959961
T0096,"""I mean considering all the gay jokes on Justin, I don't think he minds what's coming for him in jail. Cough cough butt rape cough cough.""",,gender,0.99557024
T0097,"""That's funny, most House Republicans are men. @AjChip619 I'm not sexist, but women are so damn stubborn""",,gender,0.9900287
T0098,"""Fun jokes about rape, cancer, gay, harassment and marriage night is a new low on Twitter. So called educated lot. Not a word does he (or she) utter but there is a watcher by him ready (to record it)’ (Surah Qaaf:18)""",,gender,0.9957755
T0099,"""#DesiPorn,#ManDingo,#AsianButts,#Aunty,#MatureMoms: Ugly Slut With Bushy Clam Gangbanged Brutally https://t.co/5EAjgSlXuF""",,gender,0.5798188
T0100,"""RT @James_Kakisingi I'm not sexist. But I dont like dealing with women, when there is business to do. They are too emotional""",,gender,0.99417084
T0101,"""Miley Cyrus makes date rape joke onstage at GAY http://ift.tt/RFQCSm Published May 12, 2014 at 08:53AM""",,gender,0.99574995
T0102,"""#BadrinathKiDulhania is horrific ? Guy kidnaps girl ? Gay rape scene made into a joke ? Poor message sent , wrong execution @karanjohar""",,gender,0.9950694
T0103,"""@zulfiqar_sheikh I support gay rape! Loool jokes. But cmon, we all know the outcome of this""",,gender,0.99567777
T0104,"""If I had a dime for every time I encountered some dudes with mics laughing their asses off about racist jokes or throwing around ""gay"" and ""fag"", or making rape jokes, etc when I'm just trying to play some god damn Quick Play in Overwatch""",,gender,0.9960044
T0105,"""@wanyinglah hehehee trying to! But now very tempted!!!""",,not_cyberbullying,0.6047582
T0106,"""Kat and Andre are the shittest cooks to get a pass on this show #MKR""",,not_cyberbullying,0.8773876
T0107,"""@naethelovelyone if yu find it retweet it so I know who you talking Abt""",,other_cyberbullying,0.5524286
T0108,"""@im__sparticus Base was attacked by 8 Daesh in Iraqi army uniforms.  All 8 were killed by Iraqi army.  No one got close to our marines.""",,not_cyberbullying,0.71271884
T0109,"""@wobble_chops makes sense! A bully would probably be a good option. They're pretty low-key from from what I understand. =)""",,other_cyberbullying,0.6403907
T0110,"""Who are these people LOL #MKR""",,not_cyberbullying,0.7805665
T0111,"""@Te4m_NiGhtM4Re WHAT COLOR IS THE SKY IN YOUR WORLD""",,not_cyberbullying,0.60361844
T0112,"""To be fair opening a packet of chips confuses Colin so that isn't much of an achievement really #MKR""",,not_cyberbullying,0.78442705
T0113,"""Good Morning Beautiful  #TeamBigGirls""",,not_cyberbullying,0.85794574
T0114,"""@cuntcake__ lol. U went to Mt. Pleasant Freedom School?""",,not_cyberbullying,0.9302132
T0115,"""Collin admits that he is easily confused by a sausage. #MKR""",,not_cyberbullying,0.79360175
T0116,"""Can't believe he did that AGAIN. Jesus. Hey dudes? Don't do that. Not ever. Ask yourself, would I do this to a guy? No? Then fucking STOP.""",,other_cyberbullying,0.8764584
T0117,"""Tô sofrendo bullying porque vou no show do Justin Bieber.""",,not_cyberbullying,0.9206008
T0118,"""Managed to charm my way into mother filing my college papers!""",,not_cyberbullying,0.8241734
T0119,"""I DONT know how I feel this way... But I won't the bloody blondes to stay. THATS just how horrid Kat is. #mkr""",,gender,0.91609603
T0120,"""Ok think i'm gona be sick on the bus""",,not_cyberbullying,0.5651423
T0121,"""@fizzy1vinny true story bro! The dude is class!""",,not_cyberbullying,0.9085527
T0122,"""RT @comcen76: #Kobane February 2015 100th anniversary of armenian genocide by the Turks. .""",,not_cyberbullying,0.86985
T0123,"""@parveen_n @YouTube This is what you should learn about #Islam and #Muslims. http://t.co/ZLiSomON1p""",,religion,0.94542843
T0124,"""I woudnt really go out with an 18 yr old as their mostly too immature, where as this 35+ old work college doesnt seem to think that way =|""",,not_cyberbullying,0.7855111
T0125,"""RT @ing3nu: Packed house for #WIG2015 http://t.co/7zfVzJme3v""",,not_cyberbullying,0.45474085
T0126,"""@JordanL @TheQuinnspiracy @voiceofrae @Spacekatgal i don't know. but i feel like @haley would.""",,other_cyberbullying,0.49387604
T0127,"""@obsurfer84 Here is the story of the Ghatafan. http://t.co/rXX8H38DqT And Mohammed is always attacking and always claiming it is preemptive.""",,religion,0.89935434
T0128,"""@Sir5000 @StormsOnSaturn looking into it, ty for the headsup.""",,other_cyberbullying,0.5363029
T0129,"""Yay! Colin is back! #MKR""",,not_cyberbullying,0.813633
T0130,"""#MKR the teams all gave crap scores aside from the Melbourne girls. Ridiculous. Kat and Andre shouldn't stay in the competition.""",,not_cyberbullying,0.8623294
T0131,"""CYBER BULLYING - YouTube http://t.co/EOzA9C3 #KasiTopShayela""",,not_cyberbullying,0.8561708
T0132,"""@mikeage what isn't? ;P""",,other_cyberbullying,0.4745027
T0133,"""Oh, look who is ban evading. Well, I guess I'll take care of that. And I've got 2 paychecks, thanks for the concern. ;) @_RogueSt4r""",,other_cyberbullying,0.6545328
T0134,"""@yearnings my protractor bully me (woo)""",,other_cyberbullying,0.84276354
T0135,"""@cxarli i wear beats headphones for phone calls. :P""",,other_cyberbullying,0.52551824
T0136,"""RT @avatastic: @freebsdgirl Also, anyone who has never written if (x = 0) in their C/Java/&lt;insert language where assignment will always ret…""",,other_cyberbullying,0.47727665
T0137,"""RT @j_bigboote: @freebsdgirl You'd think having to use a term like ""declared females"" might clue Eric into a problem he's overlooking.""",,gender,0.8925918
T0138,"""Am now being forced to watch Garfield videos; luck has changed""",,other_cyberbullying,0.538158
T0139,"""SO NOW IM A CYBER BULLY?! THANKS ASH! THANKS SO MUCH! YOU JUST MADE ME FEEL A WHOLE LOT BETTER!""",,other_cyberbullying,0.87064606
T0140,"""@ScudsCorp as was @alexlifschitz and @TheQuinnspiracy""",,other_cyberbullying,0.5181118
T0141,"""Abuse comes through multiple platforms. We need to get law enforcement more involved with serious threats. http://t.co/jPe2YLnZrp""",,other_cyberbullying,0.7190401
T0142,"""They lied about your evil ass https://t.co/7cQQuF0Ydk""",,other_cyberbullying,0.847156
T0143,"""@twoscooters @Official_PAX @ShaofHappiness ugh, what did they do this year?""",,other_cyberbullying,0.545868
T0144,"""cohen coon PowerPoint Slides - http://t.co/Khz2GOdiwf  #cohen #coon""",,other_cyberbullying,0.60156214
T0145,"""RT @MeninistTweet: This is disgusting. http://t.co/Yn6MQjy22r""",,other_cyberbullying,0.79666317
T0146,"""@Bard_of_peace ugh, no kidding. I miss being able to be an asshole, terrible as that is. I still let it out, but everything in moderation.""",,other_cyberbullying,0.872865
T0147,"""Oh, my username is already taken? So I've done this before. fuck youuuuuuuuuu uplay.""",,other_cyberbullying,0.6642277
T0148,"""who wants to take bets on esr not approving my comment, though approving shit about ED.""",,other_cyberbullying,0.65992767
T0149,"""#BlameOneNotAll praises people for being decent humans, suggesting most aren't, men and women alike. It's incomprehensibly infantilizing.""",,other_cyberbullying,0.41246665
T0150,"""@scalzi George R.R. Martin, why are you tweeting from John Scalzi's account?""",,gender,0.40719146
T0151,"""RT @TomZolisa: It's no twitter hype hey, phone calls and video calls when you aren't in the mood to talk are fucking annoying.""",,other_cyberbullying,0.8197971
T0152,"""@JayyThePilot Bully !""",,not_cyberbullying,0.5809002
T0153,"""@YasmineSaoudi  i can be a bully if i want , next time i see im going to throw you in the trash can , yup thats right :D""",,other_cyberbullying,0.9084238
T0154,"""#Asian #credit #markets in nervous start on rate hike prospects, #Greece woes and #Spain push against austerity drive http://t.co/Da08ngSu3p""",,not_cyberbullying,0.7430846
T0155,"""@TheQuinnspiracy @voiceofrae @Spacekatgal fuck. yes.""",,other_cyberbullying,0.64977527
T0156,"""people that use the term ""feminazi"" 😷""",,gender,0.62896556
T0157,"""@pr1ntf they searched for my *twitter name* in freebsd's *github*""",,other_cyberbullying,0.7062948
T0158,"""Every year Manu's accent gets thicker, Colin's hair gets oilier and Pete just gets oranger! #MKR""",,not_cyberbullying,0.6300971
T0159,"""@RaikonL @finaleve @mja333 heheheh. literal wrangling of butts.""",,not_cyberbullying,0.6538582
T0160,"""RT @iglvzx: @freebsdgirl @SadSuspenders ""You really think I'm a sexy shark?"" http://t.co/kgg4REtA6u""",,other_cyberbullying,0.636768
T0161,"""RT @mehdonny: 10 is a lot of bad bitches to be in a mansion""",,gender,0.54138845
T0162,"""Both of these organizations have been created to address different aspects of very real problems that affect all of us.""",,other_cyberbullying,0.6541699
T0163,"""@Celestalon @holinka you're both awesome. ;) Thank you for your work.""",,other_cyberbullying,0.5649023
T0164,"""@Schofe you're a massive moron and it is shocking you are still allowed on tv.""",,other_cyberbullying,0.5529111
T0165,"""Stop going by head lines, read the substance within the article to be informed idiot https://t.co/PqeKhZRwBS""",,other_cyberbullying,0.8456872
T0166,"""@truaemusic ...have some PC pandered tell me to accept a cult of hate.""",,not_cyberbullying,0.4597354
T0167,"""Were you drunk writing this tweet or had some sasta nasha. Cant you see how the ruling party is using hindu muslim as a tool to stay in power and due to idiots like you muslims are being tortured all the way. During the pandemic as well they found that muslims are the culprit.""",,religion,0.9964809
T0168,"""What you did to public mandate? Idiot You don't know what you have done! Mark my words... 1) You will loose all seats, 2) Muslims will beat you on streets and hindus will enjoy by clapping and shouting!""",,religion,0.9966191
T0169,"""One of my coworkers is a trump supporting, conservative, Christian woman and she STILL knows that saying #alllivesmatter is NOT the response to what’s going on right now. P.s. also hella proud, she told me she’s not voting for him bc if his response to the BLM movement""",,religion,0.99644643
T0170,"""@NNdabbour64 Every child that is brainwashed and never given a choice is force.""",,religion,0.5799632
T0171,"""@Brown_Saraah Terrorism has been the core of Islam ever since the fraudulent prophet Mohammed invented it.""",,religion,0.9937104
T0172,"""Do faithful Christians support the radical, Marxist, violent, lawless, perversion-affirming BLM organization? Do not be bound together with unbelievers; for what partnership have righteousness and lawlessness, or what fellowship has light with darkness? — 2 Corinthians 6:14""",,religion,0.99254405
T0173,"""@SirajZarook @OdiniaInvictus @BilalIGhumman @IsraeliRegime Because of Muslim hatred there will soon be no Jews, Christians, Yezidis in ME.""",,religion,0.97214293
T0174,"""Dear NYC. I am not Muslim. Why are you delivering Halal meals to my home? You f-ing idiots?""",,religion,0.99373746
T0175,"""@Iz_abdul Islam and Muslims shame Islam. http://t.co/uqgMLy8sfJ""",,religion,0.8988755
T0176,"""What have opportunities done? Offered seat at IIT and became a terrorist. It simple proves that islam=terrorism. U ppl r trying to make India an islamic state but will never succeed. Ur family n u r all immersed in islamic terrorism. Y all terrorists r muslims? 1/2""",,religion,0.9968892
T0177,"""Of course we'll celebrate our Eid-Al-Adha with much more zeal. That country where muslims's life, dalit's life, minorities life doesn't matter shameless idiots are speaking up to save goats huh, #हम_बक़रीद_मनाएंगे + 'pictures bhi upload krenge' just wait and watch you morons.""",,religion,0.9969702
T0178,"""No idiot, Adi shankara was an innovator, he debated, how many of these idiots actually debate?. have you seen many of these morons debate christians or muslims or anyone?. No. Then this he is an idiot free from any feedback.""",,religion,0.99692327
T0179,"""Gorays: Not all Muslims are from Islam you idiot Me:""",,religion,0.99146736
T0180,"""Please explain how Israel doesn’t have a democracy? And Lebanon just like Palestine has a terrorist trying to control the government. iSis Hamas &amp; Hosbalah all have one thing in common war against the world who don’t follow the Quran. We need to kill that ideology""",,religion,0.99575907
T0181,"""@Vandaliser @sajid_fairooz @IsraeliRegime A word of advice, until you can show that wikiislam is false, don't bother me with your advice.""",,not_cyberbullying,0.38038513
T0182,"""Im saying its taken out of context because the people that the verse is directing too (people who torture muslims, not all non muslims) is unclear you idiot""",,religion,0.99665844
T0183,"""@IlhanMN what is a train wreck - your marriage to your brother - you destroying two families cuz you couldn't keep your panties on - you support for radical islamic groups - your antisemitism / hate for christians - and YOUR HAIR""",,religion,0.9965952
T0184,"""Now a days u can do any crime in the name of protest and that’s every part of the world in India same thing happened in the name of ANTI CAA protest they ruin the capital of my country. Behind al this u find communists and islamic terrorism. We all need to finish them for peace""",,religion,0.9966215
T0185,"""@SevilZadeh Mohammed led 17 major military expeditions.  Most offensive.  He raped, robbed, murdered, lied, slaved, and was a pedophile.""",,religion,0.99618894
T0186,"""The same bandits killing innocent people in kaduna,zamfara,sokoto,katsina etc are the same killing innocent people and taking away their belongings,now same bandits killed some Christians and you hear some idiots come in to make it looked like it was Muslim killing Christians.""",,religion,0.99657154
T0187,"""Ohh really..can u say me about any place from where minority migrated because of RSS?? Any Bomb blast operated by RSS? No, absolutely no.but bcoz of ur so called shantpriy samuday many Kashmiri pandit migrated and the entire world is facing Islamic terrorism on the bases of jihad""",,religion,0.99665797
T0188,"""There are bad people in all walks of life. Muslims tend to be the go to scapegoat at the moment because of a few idiots. You cannot simply cast a blanket over every one&amp; call them all bad. James is just a misguided individual, unhappy with his life and blames Jews for this. Sad!""",,religion,0.9970073
T0189,"""Idiot U. If country was not divided, this country would hv been in the hands of a joint front of Muslims, dalits and other backward communities. Did you want it? So, division was more important for hardline selfish Hindus, than for Muslims. Study d demography b4 &amp; after partition""",,religion,0.99648523
